Tamanho do Download (KB),Data do Download,Fuso Horário,Nome do Arquivo,Início do Ciclo AD,Tipo de Arquivo,Horário Sinótico,Tipo de Observação,Data da Observação
13630744,2025-03-07 15:53:13,+0000,gdas.t00z.1bamua.tm00.bufr_d.20250218,2025-03-07 15:54:34,gdas,00,1bamua,2025-02-18 00:00:00
15140512,2025-03-07 15:53:14,+0000,gdas.t00z.1bhrs4.tm00.bufr_d.20250218,2025-03-07 15:54:34,gdas,00,1bhrs4,2025-02-18 00:00:00
0,2025-03-07 15:52:46,+0000,gdas.t00z.airsev.tm00.bufr_d.20250218,2025-03-07 15:54:34,gdas,00,airsev,2025-02-18 00:00:00
217046128,2025-03-07 15:53:28,+0000,gdas.t00z.atms.tm00.bufr_d.20250218,2025-03-07 15:54:34,gdas,00,atms,2025-02-18 00:00:00
1484522000,2025-03-07 15:54:10,+0000,gdas.t00z.crisf4.tm00.bufr_d.20250218,2025-03-07 15:54:34,gdas,00,crisf4,2025-02-18 00:00:00
34307960,2025-03-07 15:53:18,+0000,gdas.t00z.eshrs3.tm00.bufr_d.20250218,2025-03-07 15:54:34,gdas,00,eshrs3,2025-02-18 00:00:00
71622640,2025-03-07 15:53:23,+0000,gdas.t00z.esmhs.tm00.bufr_d.20250218,2025-03-07 15:54:34,gdas,00,esmhs,2025-02-18 00:00:00
10554936,2025-03-07 15:53:21,+0000,gdas.t00z.gome.tm00.bufr_d.20250218,2025-03-07 15:54:34,gdas,00,gome,2025-02-18 00:00:00
1817296,2025-03-07 15:53:19,+0000,gdas.t00z.gpsipw.tm00.bufr_d.nr.20250218,2025-03-07 15:54:34,gdas,00,gpsipw,2025-02-18 00:00:00
50819744,2025-03-07 15:53:47,+0000,gdas.t00z.gpsro.tm00.bufr_d.20250218,2025-03-07 15:54:34,gdas,00,gpsro,2025-02-18 00:00:00
820957912,2025-03-07 15:53:46,+0000,gdas.t00z.mtiasi.tm00.bufr_d.20250218,2025-03-07 15:54:34,gdas,00,mtiasi,2025-02-18 00:00:00
0,2025-03-07 15:53:24,+0000,gdas.t00z.osbuv8.tm00.bufr_d.20250218,2025-03-07 15:54:34,gdas,00,osbuv8,2025-02-18 00:00:00
59828568,2025-03-07 15:54:12,+0000,gdas.t00z.prepbufr.nr.20250218,2025-03-07 15:54:34,gdas,00,prepbufr,2025-02-18 00:00:00
145256872,2025-03-07 15:53:32,+0000,gdas.t00z.satwnd.tm00.bufr_d.20250218,2025-03-07 15:54:34,gdas,00,satwnd,2025-02-18 00:00:00
